"id","name","country","founded","industry","no_of_employees"
1,"laurence","denmark",1986,"sports",1560
2,"hundai","new york",1899,"vehicle",200
3,"Gill-Lamb","Cote d'Ivoire",2005,"Apparel / Fashion",5105
4,"Bauer-Weiss","United States of America",2015,"Dairy",9069
5,"Love-Palmer","Denmark",2010,"Management Consulting",6991
6,"Farmer, Edwards and Andrade","Norfolk Island",2003,"Mental Health Care",3503
7,"Bass, Hester and Mcclain","Uzbekistan",1994,"Computer Hardware",2762
8,"Strickland, Gray and Jensen","Israel",1987,"Performing Arts",7020
9,"Sparks, Decker and Powell","Israel",1977,"Marketing / Advertising / Sales",2709
10,"Osborn, Ford and Macdonald","Syrian Arab Republic",1990,"Investment Banking / Venture",5731
11,"Gonzales Inc","Angola",2019,"Capital Markets / Hedge Fund ",2252
12,"Ballard, Goodman and Boone","Iran",2019,"Logistics / Procurement",6165
13,"Bernard, Payne and Spencer","Afghanistan",1990,"Transportation",730
14,"Mcpherson-Blanchard","Bulgaria",1972,"Law Enforcement",9890
15,"Koch, Gomez and Hays","French Southern Territories",1997,"Financial Services",8497
16,"Meza, Ramirez and Braun","Timor-Leste",2012,"Public Relations / PR",5205
17,"Morales, Hinton and Gibbs","Serbia",2014,"Museums / Institutions",6706
18,"Abbott-Arroyo","Hungary",1994,"Architecture / Planning",117
19,"Trevino-Foley","Canada",1973,"Wine / Spirits",6765
20,"Bowman, Walters and Sawyer","Yemen",1988,"Think Tanks",5926
21,"Shepherd PLC","Jamaica",1972,"Newspapers / Journalism",5687
22,"Solis, Knapp and Nash","Marshall Islands",1978,"Aviation / Aerospace",9277
23,"Young, Buchanan and Vazquez","Greenland",2005,"Sports",8299
24,"Ford, Patel and Singleton","Iraq",2011,"Defense / Space",7245
25,"King Inc","French Southern Territories",2013,"Real Estate / Mortgage",7464
26,"Jacobs-Kline","Bhutan",1988,"Sporting Goods",2788
27,"Hardin, Walsh and Arias","Thailand",1980,"Graphic Design / Web Design",3738
28,"Mccann, Dominguez and Ray","Guadeloupe",2016,"Broadcast Media",8641
29,"Beltran Ltd","Uzbekistan",2016,"Media Production",2952
30,"Chaney-Kent","Hungary",1972,"Professional Training",1075
31,"Thomas PLC","Maldives",1972,"Telecommunications",2548
32,"Patton Inc","Seychelles",2002,"Venture Capital / VC",95
33,"Gay Inc","Myanmar",2019,"Luxury Goods / Jewelry",8106
34,"House-Perry","Maldives",1977,"Arts / Crafts",2938
35,"Cortez LLC","Antarctica (the territory South of 60 deg S)",1972,"Printing",9056
36,"Bridges-Carroll","Liechtenstein",1999,"Commercial Real Estate",8937
37,"Powers-Mack","Falkland Islands (Malvinas)",1983,"Sporting Goods",3985
38,"Baldwin, Warner and Russell","Jersey",1997,"Legal Services",7675
39,"Chase-Saunders","Palestinian Territory",1975,"Venture Capital / VC",9145
40,"Hood-Becker","Botswana",2004,"Human Resources / HR",1175
41,"Francis-Frazier","Christmas Island",2015,"Gambling / Casinos",6202
42,"Spence-Tran","United States of America",1996,"Package / Freight Delivery",7426
43,"Mcdowell-Dawson","Chad",1976,"Sporting Goods",2861
44,"Harrell LLC","Puerto Rico",2011,"Motion Pictures / Film",2726
45,"Mayer-Walter","Suriname",1997,"Civic / Social Organization",4595
46,"Cooley-Larson","Sri Lanka",1988,"Furniture",4171
47,"Henson Ltd","Heard Island and McDonald Islands",2010,"Photography",406
48,"Frye and Sons","Vietnam",2003,"Library",746
49,"Newton, Ferguson and Camacho","Namibia",2020,"Pharmaceuticals",8287
50,"Wall, Chandler and Chapman","Dominican Republic",1986,"Maritime",4604
51,"Leonard-Wilkinson","Chile",1995,"Wholesale",8952
52,"Walter and Sons","Nigeria",2014,"Information Technology / IT",440
53,"Pratt LLC","South Georgia and the South Sandwich Islands",1986,"Medical Equipment",5359
54,"Hebert-Santos","Cyprus",2004,"Gambling / Casinos",7982
55,"Hunt Ltd","Bahrain",1977,"Primary / Secondary Education",1693
56,"Gillespie, Hatfield and Mccarty","Indonesia",1982,"Education Management",5784
57,"Little Ltd","South Africa",2016,"Publishing Industry",7775
58,"Merritt-Mcgrath","Egypt",1988,"Maritime",6151
59,"Collier and Sons","Brazil",2020,"Transportation",9151
60,"Brooks LLC","Norway",2004,"Business Supplies / Equipment",58
61,"Werner, Berry and Dominguez","Botswana",2014,"Textiles",9676
62,"Stanton, Graves and Ibarra","Grenada",2000,"Professional Training",9431
63,"Aguirre Ltd","Nigeria",2020,"Public Safety",4941
64,"Romero-Aguirre","Bahamas",2006,"Think Tanks",142
65,"Caldwell Inc","Morocco",2008,"Library",1729
66,"Blevins, Love and Banks","Samoa",1977,"Renewables / Environment",1891
67,"Scott-Ramsey","Czech Republic",2018,"Design",8263
68,"Kennedy and Sons","Peru",1994,"Food Production",3296
69,"David and Sons","Serbia",2018,"Events Services",4660
70,"Graves Inc","Dominican Republic",1986,"Staffing / Recruiting",8802
71,"Mccann-Mcguire","Lesotho",1970,"Legal Services",5800
72,"Mclean-Mccarty","Qatar",1978,"Transportation",7610
73,"Sims, Arroyo and Brennan","Lithuania",1998,"Textiles",4963
74,"Taylor LLC","Central African Republic",1997,"Chemicals",8904
75,"Young LLC","Iran",1970,"Political Organization",5683
76,"Holden-Wolf","American Samoa",1996,"Utilities",5416
77,"Paul Ltd","Holy See (Vatican City State)",1993,"Media Production",4929
78,"Hinton Inc","Iran",2003,"Retail Industry",2658
79,"Stone Inc","Cote d'Ivoire",1984,"Alternative Medicine",816
80,"Hart, Williamson and Klein","Suriname",1970,"Management Consulting",4989
81,"Donaldson-Romero","Turkmenistan",2002,"Library",3232
82,"Joyce, Turner and Bolton","Bhutan",1975,"Online Publishing",6016
83,"Little Ltd","Mozambique",1989,"Farming",381
84,"Mercado Ltd","Lebanon",1971,"Consumer Electronics",4759
85,"Morrow-Lawson","Antigua and Barbuda",2009,"Food / Beverages",3925
86,"Compton LLC","Tonga",1997,"Industrial Automation",2011
87,"Clay-Delgado","Morocco",2003,"Fundraising",7902
88,"Fuller Inc","Guam",2013,"Food / Beverages",9074
89,"Mendoza Ltd","Bahamas",2002,"Textiles",5158
90,"Mccormick, Stafford and Soto","Guyana",2000,"Health / Fitness",9014
91,"Robbins-Contreras","Lao People's Democratic Republic",1998,"Investment Banking / Venture",2330
92,"Mcpherson, Gross and Mendez","Morocco",2002,"Maritime",4087
93,"Adkins Inc","Israel",1989,"Architecture / Planning",5338
94,"Watson, Haynes and Phelps","Eritrea",2006,"Capital Markets / Hedge Fund / Private Equity",7978
95,"Higgins, Stout and Page","South Africa",1997,"Music",2806
96,"Byrd Inc","Cocos (Keeling) Islands",2016,"Events Services",2240
97,"Norton Group","Burundi",2016,"Utilities",9497
98,"Preston, Evans and Woodward","Venezuela",1984,"Museums / Institutions",4291
99,"Miranda Group","Vietnam",1995,"Business Supplies / Equipment",7429
100,"Malone-Odom","Nepal",1997,"Alternative Medicine",4897
101,"Gamble-Hill","Brunei Darussalam",1993,"Computer / Network Security",3468
102,"Russo, Berger and Hopkins","Micronesia",2011,"Insurance",3415
103,"Wilcox LLC","Brazil",1988,"Computer Games",8471
104,"Pham-Bond","Comoros",1987,"Real Estate / Mortgage",6746
105,"Bush and Sons","Tunisia",2015,"Railroad Manufacture",6321
106,"Donaldson Group","Belarus",2016,"Shipbuilding",1027
107,"Heath-Barrera","Senegal",2018,"Retail Industry",9569
108,"Ward and Sons","France",2001,"Veterinary",8887
109,"Nielsen-Cooper","Tunisia",1975,"Law Practice / Law Firms",5303
110,"Davies-Fox","Philippines",1982,"Program Development",6397
111,"Griffith Group","Djibouti",2009,"Furniture",1839
112,"Welch, Blake and Hamilton","Singapore",1972,"Program Development",2059
113,"Henry, Mendoza and Holder","Yemen",2014,"Renewables / Environment",1126
114,"Conley Group","British Indian Ocean Territory (Chagos Archipelago)",2013,"Events Services",3806
115,"Duncan-Bradshaw","Oman",1998,"Wine / Spirits",7209
116,"Rowland Group","Antigua and Barbuda",2000,"Computer Games",4998
117,"Pacheco, Wheeler and Watts","Solomon Islands",1971,"Wireless",5726
118,"Mccann LLC","Malaysia",2009,"Maritime",7152
119,"Case, Luna and Ballard","Korea",1976,"Market Research",1202
120,"Hardy-Clements","El Salvador",2010,"Machinery",8486
121,"Snyder, Levine and Dodson","Saudi Arabia",2019,"Museums / Institutions",8656
122,"Lopez, Moyer and Crane","Western Sahara",1985,"Mechanical or Industrial Engineering",9665
123,"Robles-Hubbard","Micronesia",2021,"Executive Office",3536
124,"Sanchez-Bell","Lao People's Democratic Republic",1987,"Graphic Design / Web Design",9240
125,"Adams and Sons","Philippines",1987,"Computer / Network Security",1107
126,"Cole-Gordon","Bahrain",2017,"Furniture",7082
127,"Burnett, Estes and Bush","Yemen",2012,"Paper / Forest Products",5608
128,"Bautista PLC","Rwanda",1987,"Nanotechnology",7917
129,"Alvarado Inc","Bhutan",2020,"Hospitality",4256
130,"Rios, Floyd and Diaz","South Georgia and the South Sandwich Islands",1975,"Farming",2319
131,"Pacheco-Bruce","Ecuador",1982,"Furniture",20
132,"Mckenzie, Mcclain and Benson","New Zealand",1973,"Think Tanks",5644
133,"Hodges-Rollins","Tanzania",1970,"Mechanical or Industrial Engineering",8970
134,"Baker-Sexton","Portugal",2007,"Commercial Real Estate",2441
135,"Mckay, Cervantes and Blevins","Western Sahara",1977,"Investment Management / Hedge Fund / Private Equity",9237
136,"Livingston, Stein and Byrd","India",2019,"Internet",8578
137,"Sweeney-Melendez","United Kingdom",1984,"Newspapers / Journalism",4206
138,"Vaughan LLC","Dominican Republic",2015,"Banking / Mortgage",7755
139,"Pitts Ltd","Georgia",1989,"Public Relations / PR",2674
140,"Drake LLC","Vanuatu",1971,"Restaurants",9615
141,"Mcguire, Ritter and Warren","Tunisia",2006,"Events Services",3329
142,"Ware, Smith and Mendez","Vietnam",1997,"Venture Capital / VC",8518
143,"Glenn, Savage and Ewing","French Southern Territories",1981,"Animation",6826
144,"Townsend, Richmond and Underwood","Congo",1973,"Music",9915
145,"Mcpherson, Cameron and Whitehead","Azerbaijan",1978,"Wine / Spirits",5942
146,"Gross-Duncan","Somalia",2017,"Cosmetics",723
147,"Hutchinson-Leblanc","Tuvalu",2007,"Wine / Spirits",1431
148,"Caldwell-Atkins","Svalbard & Jan Mayen Islands",2000,"Media Production",8706
149,"Castro, Moses and Wolfe","Antarctica (the territory South of 60 deg S)",1997,"Veterinary",2878
150,"Branch-Cross","Guam",1990,"Investment Banking / Venture",1228
151,"Chung, Patel and Moore","Ecuador",2008,"Primary / Secondary Education",2928
152,"Castro-Mercer","Jersey",1974,"Industrial Automation",3308
153,"Owens PLC","Sudan",2008,"Legal Services",4343
154,"Goodwin, Callahan and Pratt","Nauru",1998,"Architecture / Planning",7808
155,"Stephens Group","Comoros",1983,"Fundraising",953
156,"Davies, Sloan and Ashley","Malaysia",1989,"Airlines / Aviation",4281
157,"Conner, Ferguson and Baxter","Tuvalu",2016,"Biotechnology / Greentech",3528
158,"Freeman, Robbins and Joseph","Falkland Islands (Malvinas)",1993,"International Affairs",7067
159,"Orr-Joseph","Congo",2001,"Textiles",4375
160,"Mills-Humphrey","Brazil",2017,"Luxury Goods / Jewelry",3778
161,"Cameron, Osborn and Pollard","French Polynesia",2018,"Mechanical or Industrial Engineering",2775
162,"Young Inc","Costa Rica",2001,"Computer Networking",3541
163,"Lam Group","Kazakhstan",2006,"Broadcast Media",2760
164,"Molina, Alexander and Reilly","Svalbard & Jan Mayen Islands",1993,"Construction",765
165,"Bush PLC","Taiwan",2016,"Arts / Crafts",4505
166,"Novak, Mcguire and Copeland","Chad",2011,"Packaging / Containers",8128
167,"Mullins, Cook and Webb","Lebanon",1998,"Entertainment / Movie Production",4556
168,"Costa PLC","Somalia",1982,"Arts / Crafts",5077
169,"Parker Ltd","Christmas Island",2009,"Accounting",6947
170,"Hickman LLC","Nigeria",2011,"Industrial Automation",1282
171,"Horton Inc","Serbia",2006,"Food / Beverages",3599
172,"Perez Inc","Haiti",2020,"Paper / Forest Products",3215
173,"Lucero-Rodriguez","Switzerland",1976,"Defense / Space",9625
174,"Boyd Group","Moldova",1995,"Medical Equipment",7344
175,"Pollard LLC","French Guiana",2013,"Performing Arts",9329
176,"Mckay Group","Indonesia",2021,"Consumer Electronics",2304
177,"Moran, Nichols and Kelly","Solomon Islands",1970,"Alternative Medicine",1124
178,"Franklin, Parsons and Mccoy","Mozambique",2004,"Textiles",6962
179,"Alvarez LLC","Seychelles",1973,"Research Industry",5176
180,"Ballard-Benjamin","Gambia",1984,"Consumer Electronics",1339
181,"Byrd, Wallace and Bryan","Zimbabwe",1975,"Package / Freight Delivery",5371
182,"Hayden and Sons","Norfolk Island",2013,"Hospital / Health Care",8746
183,"Hicks, Hall and Hopkins","Benin",1979,"Writing / Editing",9652
184,"Koch Group","Croatia",1994,"Government Relations",6847
185,"Barajas, Hunt and Frye","Denmark",1980,"Philanthropy",3233
186,"Raymond-Rivers","Nicaragua",1995,"Plastics",3836
187,"Newman, Medina and Luna","Korea",1971,"Think Tanks",876
188,"Schneider-Elliott","Bahamas",2021,"Supermarkets",7306
189,"Mays, Robles and Shah","Cambodia",1989,"Chemicals",9666
190,"Huynh and Sons","Swaziland",1993,"Furniture",1359
191,"Gonzales-Schneider","Timor-Leste",1989,"Oil / Energy / Solar / Greentech",687
192,"Harding Inc","Pakistan",1986,"Events Services",6891
193,"Shelton PLC","Saudi Arabia",1973,"Food Production",9909
194,"Elliott, Hood and Estrada","Ethiopia",2014,"Automotive",3493
195,"Ayers, Pierce and Vang","Bahamas",1974,"Professional Training",6594
196,"Cardenas, Brown and Melton","Thailand",1980,"Hospitality",8328
197,"Espinoza PLC","Colombia",1999,"Construction",4441
198,"Levy, Carey and Carpenter","Moldova",2013,"Real Estate / Mortgage",6334
199,"Pugh-Sampson","French Southern Territories",1986,"Wireless",9256
200,"Fuller, Beasley and Rivas","Tajikistan",1984,"Mining / Metals",9432
201,"Galloway-Williamson","Libyan Arab Jamahiriya",1975,"Animation",1512
202,"Haney, Kirk and Cox","Marshall Islands",1985,"Library",3975
203,"Michael and Sons","Austria",1988,"Museums / Institutions",3837
204,"Lara-Andrews","United Arab Emirates",1978,"Fundraising",2354
205,"Harvey Inc","Singapore",1998,"Maritime",4256
206,"Beltran, Flores and Kelley","Argentina",1970,"Railroad Manufacture",1371
207,"Hall Group","Greenland",1982,"Construction",5969
208,"Rocha-Snyder","Guatemala",1986,"Machinery",2008
209,"Riley, Ortiz and Shelton","Peru",1988,"Consumer Electronics",597
210,"Keith-Mora","Uganda",1976,"Music",1555
211,"Curry, Blake and Leblanc","Cayman Islands",1973,"Think Tanks",2164
212,"Olson-Mcconnell","Faroe Islands",1970,"Medical Equipment",9170
213,"Bowen Group","Ecuador",1980,"Market Research",2179
214,"Choi, Daniels and Gay","Holy See (Vatican City State)",2004,"Food / Beverages",3410
215,"Esparza, Jimenez and Hendrix","Ukraine",2003,"Events Services",9709
216,"Collins Group","Netherlands Antilles",2008,"Internet",9616
217,"Morrow Inc","Pakistan",2011,"Government Administration",9434
218,"Mercer, Arroyo and Camacho","Kyrgyz Republic",2018,"Higher Education / Acadamia",5253
219,"Escobar, Gilmore and Mahoney","Kazakhstan",1988,"International Trade / Development",5975
220,"Garrett PLC","Uruguay",1994,"Medical Practice",4965
221,"Owen, Hansen and Lynch","Venezuela",1984,"Entertainment / Movie Production",5331
222,"Mcdaniel, Cunningham and Buck","Uruguay",2016,"International Affairs",1346
223,"Livingston-Short","Bahamas",1973,"Warehousing",6921
224,"Woodard Group","South Africa",1994,"Ranching",1257
225,"Hamilton LLC","Germany",2016,"Mental Health Care",2495
226,"Alvarez, Mendoza and Trujillo","United States Minor Outlying Islands",1973,"Packaging / Containers",3699
227,"Ayers LLC","Aruba",1971,"Wholesale",7898
228,"Sanchez, Berger and Richard","Switzerland",1977,"Translation / Localization",6443
229,"Clayton-Kelly","Kyrgyz Republic",2013,"Writing / Editing",4691
230,"Gibbs and Sons","Saint Martin",2014,"Arts / Crafts",3052
231,"Copeland, Booth and Patrick","China",1975,"Logistics / Procurement",1623
232,"Cross PLC","Brazil",1976,"Government Relations",3101
233,"Chambers-Kemp","Algeria",2021,"Accounting",4288
234,"Estrada-Leon","Somalia",1973,"Aviation / Aerospace",3615
235,"Freeman, Cooke and Wright","Saint Pierre and Miquelon",1997,"Judiciary",3480
236,"Davis-Dillon","Dominican Republic",2007,"Computer / Network Security",6607
237,"Mccann-Huang","Uganda",1986,"Military Industry",3652
238,"Roberts Group","Somalia",2021,"Individual / Family Services",8534
239,"Lynch Inc","Jersey",2011,"Computer / Network Security",2050
240,"Cohen LLC","Saint Vincent and the Grenadines",1983,"Civic / Social Organization",8145
241,"Farley LLC","United States Virgin Islands",2014,"Judiciary",1055
242,"Larson LLC","Lithuania",2011,"Animation",2759
243,"Lyons-Meyer","Turks and Caicos Islands",1999,"Food Production",695
244,"Conley PLC","Lithuania",1970,"Internet",3095
245,"Serrano, Moses and Ho","Kenya",1974,"Nanotechnology",5247
246,"Hernandez Ltd","Indonesia",2003,"Environmental Services",795
247,"Hoover, Johns and French","Myanmar",2015,"Biotechnology / Greentech",5436
248,"King Inc","Afghanistan",1985,"Apparel / Fashion",6819
249,"Mcclain Ltd","United Kingdom",1993,"Information Technology / IT",6001
250,"Rojas, Andrews and Odonnell","Algeria",1981,"Library",6429
251,"Hoover, Mack and Larsen","Mauritius",1995,"Civic / Social Organization",4502
252,"Rosales-Armstrong","Mexico",2019,"Building Materials",3362
253,"Newton LLC","Belarus",1997,"Mental Health Care",3886
254,"Griffin-Bauer","Russian Federation",1987,"Security / Investigations",8587
255,"Whitaker-Lara","Azerbaijan",1992,"Glass / Ceramics / Concrete",8323
256,"Arellano-Kemp","Saint Pierre and Miquelon",1971,"Medical Equipment",1993
257,"Henderson Group","Myanmar",1992,"Think Tanks",2553
258,"Simon-Decker","Israel",1976,"Accounting",9686
259,"Snyder, Gordon and Merritt","Malawi",1982,"Management Consulting",1982
260,"Ward-Cox","Barbados",2009,"Facilities Services",2996
261,"Mathis, Salazar and Ramsey","Indonesia",1995,"Dairy",2781
262,"Hobbs-Johnston","Guinea-Bissau",1994,"Program Development",5840
263,"Hunter-Kane","Cook Islands",2004,"Individual / Family Services",346
264,"Horn-Faulkner","Slovenia",2014,"Medical Equipment",6495
265,"Singh-Pace","Rwanda",1977,"Broadcast Media",8318
266,"Moss Inc","Grenada",1997,"Electrical / Electronic Manufacturing",48
267,"Tate Ltd","Guatemala",1993,"Staffing / Recruiting",4118
268,"Foster-Knapp","Uganda",2010,"Cosmetics",2413
269,"Hoffman, Castillo and Oneal","Namibia",1985,"Research Industry",2609
270,"Maddox-Novak","Costa Rica",2009,"Warehousing",4031
271,"Cordova, Huerta and Barry","Saint Martin",1983,"Research Industry",7118
272,"Horn-Blake","Hungary",2017,"Dairy",4156
273,"Reynolds, Hays and Hampton","Niger",2014,"Semiconductors",3752
274,"Holloway LLC","Malawi",2019,"Investment Banking / Venture",561
275,"Kelley, Nash and Burns","Saint Helena",2002,"Printing",2913
276,"Jacobs-Sawyer","Cape Verde",1993,"Maritime",3118
277,"Russo-Cameron","Indonesia",2012,"Apparel / Fashion",5680
278,"Cain Group","Niue",1994,"Supermarkets",9505
279,"Shea-Peck","Saint Helena",2005,"Alternative Medicine",8338
280,"Grimes PLC","Korea",2005,"Civil Engineering",3070
281,"Hopkins-Wood","Croatia",1987,"Pharmaceuticals",3160
282,"Hobbs, Evans and Holder","Italy",2001,"Aviation / Aerospace",8461
283,"Fletcher PLC","Grenada",1993,"Logistics / Procurement",5184
284,"Macias-Roth","Hungary",1988,"Defense / Space",6796
285,"Guerra, Mays and Alvarado","India",2019,"Fine Art",1971
286,"Whitaker Group","Chad",2005,"Computer Software / Engineering",7007
287,"Fritz Ltd","Kazakhstan",1975,"Graphic Design / Web Design",7020
288,"Knapp-Maldonado","Christmas Island",2013,"E - Learning",6143
289,"Robinson PLC","Canada",2003,"Broadcast Media",1310
290,"Adkins-Walters","Malawi",1994,"Sports",1790
291,"Wu-Murray","Pitcairn Islands",2008,"Veterinary",728
292,"Foster Inc","France",1981,"Legislative Office",7348
293,"Arellano, Moran and Conway","Papua New Guinea",1976,"Food / Beverages",4941
294,"Todd-Mccarty","Guinea-Bissau",1984,"Performing Arts",1416
295,"Lee-Marks","Costa Rica",1985,"Marketing / Advertising / Sales",3511
296,"Watkins, Russo and Henry","Turkmenistan",2015,"Real Estate / Mortgage",2401
297,"Dixon Inc","Guinea-Bissau",2013,"Utilities",7607
298,"Watkins Group","Guernsey",2005,"Mental Health Care",9013
299,"Kirk-Moody","Cameroon",1971,"Government Administration",4110
300,"Larson Ltd","Gabon",2014,"Wireless",5197
301,"Perez Group","Comoros",2007,"Wine / Spirits",8889
302,"Charles Inc","New Zealand",2011,"Utilities",7014
303,"Green-Frye","Uzbekistan",2011,"Computer Networking",7776
304,"Banks PLC","Greece",2003,"Machinery",7919
305,"Hood, Evans and Waters","Austria",2006,"Medical Equipment",6998
306,"Roberson-Bailey","Maldives",2006,"Political Organization",4131
307,"Hurley-Marquez","Sudan",2017,"Telecommunications",3313
308,"Macdonald PLC","Ethiopia",1975,"Events Services",6603
309,"Salas and Sons","Iran",1991,"Food Production",2668
310,"Howe, Byrd and Owens","Australia",2010,"Financial Services",7597
311,"Acosta-Lam","Finland",1991,"Oil / Energy / Solar / Greentech",4437
312,"Crane PLC","Gibraltar",2015,"Information Services",6357
313,"English, Oneal and Savage","Nicaragua",1989,"Dairy",3209
314,"Carey, Moss and Bolton","Timor-Leste",2020,"Graphic Design / Web Design",2613
315,"Caldwell Ltd","Tonga",1978,"Entertainment / Movie Production",5260
316,"Maddox Ltd","Malawi",2011,"Individual / Family Services",5972
317,"Byrd Inc","Jordan",2016,"Computer Games",3182
318,"Williams-Pennington","Greenland",1972,"Packaging / Containers",4484
319,"Schaefer, Graham and Valdez","United Arab Emirates",2010,"Chemicals",1681
320,"Oconnell-Ponce","Uzbekistan",1999,"Alternative Dispute Resolution",6702
321,"Schroeder LLC","Kenya",1979,"Transportation",1185
322,"Horn-Pace","Vanuatu",1998,"Outsourcing / Offshoring",6162
323,"Donovan-Carson","Pakistan",2013,"Human Resources / HR",7498
324,"Pittman-Buchanan","United States of America",1988,"Farming",3610
325,"Bridges, Velez and Rivera","New Zealand",1993,"Media Production",8480
326,"Michael-Lee","Andorra",2004,"Law Practice / Law Firms",8506
327,"Alvarado-Anthony","Cape Verde",1978,"Outsourcing / Offshoring",28
328,"Dunlap, Mccullough and Pittman","Israel",2014,"Dairy",8217
329,"Petty Ltd","Sao Tome and Principe",2013,"Business Supplies / Equipment",7455
330,"Flowers, Levy and Wallace","United States Minor Outlying Islands",1976,"Chemicals",1831
331,"Brooks Inc","Spain",1976,"Medical Equipment",4320
332,"Hanna PLC","French Southern Territories",1987,"Sports",7806
333,"Thompson Ltd","Andorra",1980,"Chemicals",6676
334,"Hendricks PLC","Grenada",1981,"Defense / Space",4680
335,"Houston-Ayala","Anguilla",2020,"Legislative Office",4704
336,"Palmer-Stokes","Denmark",2016,"Civic / Social Organization",3242
337,"Avila-Nelson","Lesotho",2012,"Cosmetics",2235
338,"Bird and Sons","Nepal",1977,"Biotechnology / Greentech",7050
