"id","name","country","founded","industry","no_of_employees","website","description","e_mail"
1,"laurence","denmark",1986,"sports",1560,"0",NULL,"no email"
2,"hundai","new york",1899,"vehicle",200,"0",NULL,"no email"
3,"Gill-Lamb","Cote d'Ivoire",2005,"Apparel / Fashion",5105,"0",NULL,"no email"
4,"Bauer-Weiss","United States of America",2015,"Dairy",9069,"0",NULL,"no email"
5,"Love-Palmer","Denmark",2010,"Management Consulting",6991,"0",NULL,"no email"
6,"Farmer, Edwards and Andrade","Norfolk Island",2003,"Mental Health Care",3503,"0",NULL,"no email"
7,"Bass, Hester and Mcclain","Uzbekistan",1994,"Computer Hardware",2762,"0",NULL,"no email"
8,"Strickland, Gray and Jensen","Israel",1987,"Performing Arts",7020,"0",NULL,"no email"
9,"Sparks, Decker and Powell","Israel",1977,"Marketing / Advertising / Sales",2709,"0",NULL,"no email"
10,"Osborn, Ford and Macdonald","Syrian Arab Republic",1990,"Investment Banking / Venture",5731,"0",NULL,"no email"
11,"Gonzales Inc","Angola",2019,"Capital Markets / Hedge Fund ",2252,"0",NULL,"no email"
12,"Ballard, Goodman and Boone","Iran",2019,"Logistics / Procurement",6165,"0",NULL,"no email"
13,"Bernard, Payne and Spencer","Afghanistan",1990,"Transportation",730,"0",NULL,"no email"
14,"Mcpherson-Blanchard","Bulgaria",1972,"Law Enforcement",9890,"0",NULL,"no email"
15,"Koch, Gomez and Hays","French Southern Territories",1997,"Financial Services",8497,"0",NULL,"no email"
16,"Meza, Ramirez and Braun","Timor-Leste",2012,"Public Relations / PR",5205,"0",NULL,"no email"
17,"Morales, Hinton and Gibbs","Serbia",2014,"Museums / Institutions",6706,"0",NULL,"no email"
18,"Abbott-Arroyo","Hungary",1994,"Architecture / Planning",117,"0",NULL,"no email"
19,"Trevino-Foley","Canada",1973,"Wine / Spirits",6765,"0",NULL,"no email"
20,"Bowman, Walters and Sawyer","Yemen",1988,"Think Tanks",5926,"0",NULL,"no email"
21,"Shepherd PLC","Jamaica",1972,"Newspapers / Journalism",5687,"0",NULL,"no email"
22,"Solis, Knapp and Nash","Marshall Islands",1978,"Aviation / Aerospace",9277,"0",NULL,"no email"
23,"Young, Buchanan and Vazquez","Greenland",2005,"Sports",8299,"0",NULL,"no email"
25,"King Inc","French Southern Territories",2013,"Real Estate / Mortgage",7464,"0",NULL,"no email"
26,"Jacobs-Kline","Bhutan",1988,"Sporting Goods",2788,"0",NULL,"no email"
27,"Hardin, Walsh and Arias","Thailand",1980,"Graphic Design / Web Design",3738,"0",NULL,"no email"
28,"Mccann, Dominguez and Ray","Guadeloupe",2016,"Broadcast Media",8641,"0",NULL,"no email"
29,"Beltran Ltd","Uzbekistan",2016,"Media Production",2952,"0",NULL,"no email"
30,"Chaney-Kent","Hungary",1972,"Professional Training",1075,"0",NULL,"no email"
31,"Thomas PLC","Maldives",1972,"Telecommunications",2548,"0",NULL,"no email"
32,"Patton Inc","Seychelles",2002,"Venture Capital / VC",95,"0",NULL,"no email"
33,"Gay Inc","Myanmar",2019,"Luxury Goods / Jewelry",8106,"0",NULL,"no email"
34,"House-Perry","Maldives",1977,"Arts / Crafts",2938,"0",NULL,"no email"
35,"Cortez LLC","Antarctica (the territory South of 60 deg S)",1972,"Printing",9056,"0",NULL,"no email"
36,"Bridges-Carroll","Liechtenstein",1999,"Commercial Real Estate",8937,"0",NULL,"no email"
37,"Powers-Mack","Falkland Islands (Malvinas)",1983,"Sporting Goods",3985,"0",NULL,"no email"
38,"Baldwin, Warner and Russell","Jersey",1997,"Legal Services",7675,"0",NULL,"no email"
39,"Chase-Saunders","Palestinian Territory",1975,"Venture Capital / VC",9145,"0",NULL,"no email"
40,"Hood-Becker","Botswana",2004,"Human Resources / HR",1175,"0",NULL,"no email"
41,"Francis-Frazier","Christmas Island",2015,"Gambling / Casinos",6202,"0",NULL,"no email"
42,"Spence-Tran","United States of America",1996,"Package / Freight Delivery",7426,"0",NULL,"no email"
43,"Mcdowell-Dawson","Chad",1976,"Sporting Goods",2861,"0",NULL,"no email"
44,"Harrell LLC","Puerto Rico",2011,"Motion Pictures / Film",2726,"0",NULL,"no email"
45,"Mayer-Walter","Suriname",1997,"Civic / Social Organization",4595,"0",NULL,"no email"
46,"Cooley-Larson","Sri Lanka",1988,"Furniture",4171,"0",NULL,"no email"
47,"Henson Ltd","Heard Island and McDonald Islands",2010,"Photography",406,"0",NULL,"no email"
48,"Frye and Sons","Vietnam",2003,"Library",746,"0",NULL,"no email"
49,"Newton, Ferguson and Camacho","Namibia",2020,"Pharmaceuticals",8287,"0",NULL,"no email"
50,"Wall, Chandler and Chapman","Dominican Republic",1986,"Maritime",4604,"0",NULL,"no email"
51,"Leonard-Wilkinson","Chile",1995,"Wholesale",8952,"0",NULL,"no email"
52,"Walter and Sons","Nigeria",2014,"Information Technology / IT",440,"0",NULL,"no email"
53,"Pratt LLC","South Georgia and the South Sandwich Islands",1986,"Medical Equipment",5359,"0",NULL,"no email"
54,"Hebert-Santos","Cyprus",2004,"Gambling / Casinos",7982,"0",NULL,"no email"
55,"Hunt Ltd","Bahrain",1977,"Primary / Secondary Education",1693,"0",NULL,"no email"
56,"Gillespie, Hatfield and Mccarty","Indonesia",1982,"Education Management",5784,"0",NULL,"no email"
57,"Little Ltd","South Africa",2016,"Publishing Industry",7775,"0",NULL,"no email"
58,"Merritt-Mcgrath","Egypt",1988,"Maritime",6151,"0",NULL,"no email"
59,"Collier and Sons","Brazil",2020,"Transportation",9151,"0",NULL,"no email"
60,"Brooks LLC","Norway",2004,"Business Supplies / Equipment",58,"0",NULL,"no email"
61,"Werner, Berry and Dominguez","Botswana",2014,"Textiles",9676,"0",NULL,"no email"
62,"Stanton, Graves and Ibarra","Grenada",2000,"Professional Training",9431,"0",NULL,"no email"
63,"Aguirre Ltd","Nigeria",2020,"Public Safety",4941,"0",NULL,"no email"
64,"Romero-Aguirre","Bahamas",2006,"Think Tanks",142,"0",NULL,"no email"
65,"Caldwell Inc","Morocco",2008,"Library",1729,"0",NULL,"no email"
66,"Blevins, Love and Banks","Samoa",1977,"Renewables / Environment",1891,"0",NULL,"no email"
67,"Scott-Ramsey","Czech Republic",2018,"Design",8263,"0",NULL,"no email"
68,"Kennedy and Sons","Peru",1994,"Food Production",3296,"0",NULL,"no email"
69,"David and Sons","Serbia",2018,"Events Services",4660,"0",NULL,"no email"
70,"Graves Inc","Dominican Republic",1986,"Staffing / Recruiting",8802,"0",NULL,"no email"
71,"Mccann-Mcguire","Lesotho",1970,"Legal Services",5800,"0",NULL,"no email"
72,"Mclean-Mccarty","Qatar",1978,"Transportation",7610,"0",NULL,"no email"
73,"Sims, Arroyo and Brennan","Lithuania",1998,"Textiles",4963,"0",NULL,"no email"
74,"Taylor LLC","Central African Republic",1997,"Chemicals",8904,"0",NULL,"no email"
75,"Young LLC","Iran",1970,"Political Organization",5683,"0",NULL,"no email"
76,"Holden-Wolf","American Samoa",1996,"Utilities",5416,"0",NULL,"no email"
77,"Paul Ltd","Holy See (Vatican City State)",1993,"Media Production",4929,"0",NULL,"no email"
78,"Hinton Inc","Iran",2003,"Retail Industry",2658,"0",NULL,"no email"
79,"Stone Inc","Cote d'Ivoire",1984,"Alternative Medicine",816,"0",NULL,"no email"
80,"Hart, Williamson and Klein","Suriname",1970,"Management Consulting",4989,"0",NULL,"no email"
81,"Donaldson-Romero","Turkmenistan",2002,"Library",3232,"0",NULL,"no email"
82,"Joyce, Turner and Bolton","Bhutan",1975,"Online Publishing",6016,"0",NULL,"no email"
83,"Little Ltd","Mozambique",1989,"Farming",381,"0",NULL,"no email"
84,"Mercado Ltd","Lebanon",1971,"Consumer Electronics",4759,"0",NULL,"no email"
85,"Morrow-Lawson","Antigua and Barbuda",2009,"Food / Beverages",3925,"0",NULL,"no email"
86,"Compton LLC","Tonga",1997,"Industrial Automation",2011,"0",NULL,"no email"
87,"Clay-Delgado","Morocco",2003,"Fundraising",7902,"0",NULL,"no email"
88,"Fuller Inc","Guam",2013,"Food / Beverages",9074,"0",NULL,"no email"
89,"Mendoza Ltd","Bahamas",2002,"Textiles",5158,"0",NULL,"no email"
90,"Mccormick, Stafford and Soto","Guyana",2000,"Health / Fitness",9014,"0",NULL,"no email"
91,"Robbins-Contreras","Lao People's Democratic Republic",1998,"Investment Banking / Venture",2330,"0",NULL,"no email"
92,"Mcpherson, Gross and Mendez","Morocco",2002,"Maritime",4087,"0",NULL,"no email"
93,"Adkins Inc","Israel",1989,"Architecture / Planning",5338,"0",NULL,"no email"
94,"Watson, Haynes and Phelps","Eritrea",2006,"Capital Markets / Hedge Fund / Private Equity",7978,"0",NULL,"no email"
95,"Higgins, Stout and Page","South Africa",1997,"Music",2806,"0",NULL,"no email"
96,"Byrd Inc","Cocos (Keeling) Islands",2016,"Events Services",2240,"0",NULL,"no email"
97,"Norton Group","Burundi",2016,"Utilities",9497,"0",NULL,"no email"
98,"Preston, Evans and Woodward","Venezuela",1984,"Museums / Institutions",4291,"0",NULL,"no email"
99,"Miranda Group","Vietnam",1995,"Business Supplies / Equipment",7429,"0",NULL,"no email"
100,"Malone-Odom","Nepal",1997,"Alternative Medicine",4897,"0",NULL,"no email"
101,"Gamble-Hill","Brunei Darussalam",1993,"Computer / Network Security",3468,"0",NULL,"no email"
102,"Russo, Berger and Hopkins","Micronesia",2011,"Insurance",3415,"0",NULL,"no email"
103,"Wilcox LLC","Brazil",1988,"Computer Games",8471,"0",NULL,"no email"
104,"Pham-Bond","Comoros",1987,"Real Estate / Mortgage",6746,"0",NULL,"no email"
105,"Bush and Sons","Tunisia",2015,"Railroad Manufacture",6321,"0",NULL,"no email"
106,"Donaldson Group","Belarus",2016,"Shipbuilding",1027,"0",NULL,"no email"
107,"Heath-Barrera","Senegal",2018,"Retail Industry",9569,"0",NULL,"no email"
108,"Ward and Sons","France",2001,"Veterinary",8887,"0",NULL,"no email"
109,"Nielsen-Cooper","Tunisia",1975,"Law Practice / Law Firms",5303,"0",NULL,"no email"
110,"Davies-Fox","Philippines",1982,"Program Development",6397,"0",NULL,"no email"
111,"Griffith Group","Djibouti",2009,"Furniture",1839,"0",NULL,"no email"
112,"Welch, Blake and Hamilton","Singapore",1972,"Program Development",2059,"0",NULL,"no email"
113,"Henry, Mendoza and Holder","Yemen",2014,"Renewables / Environment",1126,"0",NULL,"no email"
114,"Conley Group","British Indian Ocean Territory (Chagos Archipelago)",2013,"Events Services",3806,"0",NULL,"no email"
115,"Duncan-Bradshaw","Oman",1998,"Wine / Spirits",7209,"0",NULL,"no email"
116,"Rowland Group","Antigua and Barbuda",2000,"Computer Games",4998,"0",NULL,"no email"
117,"Pacheco, Wheeler and Watts","Solomon Islands",1971,"Wireless",5726,"0",NULL,"no email"
118,"Mccann LLC","Malaysia",2009,"Maritime",7152,"0",NULL,"no email"
119,"Case, Luna and Ballard","Korea",1976,"Market Research",1202,"0",NULL,"no email"
120,"Hardy-Clements","El Salvador",2010,"Machinery",8486,"0",NULL,"no email"
121,"Snyder, Levine and Dodson","Saudi Arabia",2019,"Museums / Institutions",8656,"0",NULL,"no email"
122,"Lopez, Moyer and Crane","Western Sahara",1985,"Mechanical or Industrial Engineering",9665,"0",NULL,"no email"
123,"Robles-Hubbard","Micronesia",2021,"Executive Office",3536,"0",NULL,"no email"
124,"Sanchez-Bell","Lao People's Democratic Republic",1987,"Graphic Design / Web Design",9240,"0",NULL,"no email"
125,"Adams and Sons","Philippines",1987,"Computer / Network Security",1107,"0",NULL,"no email"
126,"Cole-Gordon","Bahrain",2017,"Furniture",7082,"0",NULL,"no email"
127,"Burnett, Estes and Bush","Yemen",2012,"Paper / Forest Products",5608,"0",NULL,"no email"
128,"Bautista PLC","Rwanda",1987,"Nanotechnology",7917,"0",NULL,"no email"
129,"Alvarado Inc","Bhutan",2020,"Hospitality",4256,"0",NULL,"no email"
130,"Rios, Floyd and Diaz","South Georgia and the South Sandwich Islands",1975,"Farming",2319,"0",NULL,"no email"
131,"Pacheco-Bruce","Ecuador",1982,"Furniture",20,"0",NULL,"no email"
132,"Mckenzie, Mcclain and Benson","New Zealand",1973,"Think Tanks",5644,"0",NULL,"no email"
133,"Hodges-Rollins","Tanzania",1970,"Mechanical or Industrial Engineering",8970,"0",NULL,"no email"
134,"Baker-Sexton","Portugal",2007,"Commercial Real Estate",2441,"0",NULL,"no email"
135,"Mckay, Cervantes and Blevins","Western Sahara",1977,"Investment Management / Hedge Fund / Private Equity",9237,"0",NULL,"no email"
136,"Livingston, Stein and Byrd","India",2019,"Internet",8578,"0",NULL,"no email"
137,"Sweeney-Melendez","United Kingdom",1984,"Newspapers / Journalism",4206,"0",NULL,"no email"
138,"Vaughan LLC","Dominican Republic",2015,"Banking / Mortgage",7755,"0",NULL,"no email"
139,"Pitts Ltd","Georgia",1989,"Public Relations / PR",2674,"0",NULL,"no email"
140,"Drake LLC","Vanuatu",1971,"Restaurants",9615,"0",NULL,"no email"
141,"Mcguire, Ritter and Warren","Tunisia",2006,"Events Services",3329,"0",NULL,"no email"
142,"Ware, Smith and Mendez","Vietnam",1997,"Venture Capital / VC",8518,"0",NULL,"no email"
143,"Glenn, Savage and Ewing","French Southern Territories",1981,"Animation",6826,"0",NULL,"no email"
144,"Townsend, Richmond and Underwood","Congo",1973,"Music",9915,"0",NULL,"no email"
145,"Mcpherson, Cameron and Whitehead","Azerbaijan",1978,"Wine / Spirits",5942,"0",NULL,"no email"
146,"Gross-Duncan","Somalia",2017,"Cosmetics",723,"0",NULL,"no email"
147,"Hutchinson-Leblanc","Tuvalu",2007,"Wine / Spirits",1431,"0",NULL,"no email"
148,"Caldwell-Atkins","Svalbard & Jan Mayen Islands",2000,"Media Production",8706,"0",NULL,"no email"
149,"Castro, Moses and Wolfe","Antarctica (the territory South of 60 deg S)",1997,"Veterinary",2878,"0",NULL,"no email"
150,"Branch-Cross","Guam",1990,"Investment Banking / Venture",1228,"0",NULL,"no email"
151,"Chung, Patel and Moore","Ecuador",2008,"Primary / Secondary Education",2928,"0",NULL,"no email"
152,"Castro-Mercer","Jersey",1974,"Industrial Automation",3308,"0",NULL,"no email"
153,"Owens PLC","Sudan",2008,"Legal Services",4343,"0",NULL,"no email"
154,"Goodwin, Callahan and Pratt","Nauru",1998,"Architecture / Planning",7808,"0",NULL,"no email"
155,"Stephens Group","Comoros",1983,"Fundraising",953,"0",NULL,"no email"
156,"Davies, Sloan and Ashley","Malaysia",1989,"Airlines / Aviation",4281,"0",NULL,"no email"
157,"Conner, Ferguson and Baxter","Tuvalu",2016,"Biotechnology / Greentech",3528,"0",NULL,"no email"
158,"Freeman, Robbins and Joseph","Falkland Islands (Malvinas)",1993,"International Affairs",7067,"0",NULL,"no email"
159,"Orr-Joseph","Congo",2001,"Textiles",4375,"0",NULL,"no email"
160,"Mills-Humphrey","Brazil",2017,"Luxury Goods / Jewelry",3778,"0",NULL,"no email"
161,"Cameron, Osborn and Pollard","French Polynesia",2018,"Mechanical or Industrial Engineering",2775,"0",NULL,"no email"
162,"Young Inc","Costa Rica",2001,"Computer Networking",3541,"0",NULL,"no email"
163,"Lam Group","Kazakhstan",2006,"Broadcast Media",2760,"0",NULL,"no email"
164,"Molina, Alexander and Reilly","Svalbard & Jan Mayen Islands",1993,"Construction",765,"0",NULL,"no email"
165,"Bush PLC","Taiwan",2016,"Arts / Crafts",4505,"0",NULL,"no email"
166,"Novak, Mcguire and Copeland","Chad",2011,"Packaging / Containers",8128,"0",NULL,"no email"
167,"Mullins, Cook and Webb","Lebanon",1998,"Entertainment / Movie Production",4556,"0",NULL,"no email"
168,"Costa PLC","Somalia",1982,"Arts / Crafts",5077,"0",NULL,"no email"
169,"Parker Ltd","Christmas Island",2009,"Accounting",6947,"0",NULL,"no email"
170,"Hickman LLC","Nigeria",2011,"Industrial Automation",1282,"0",NULL,"no email"
171,"Horton Inc","Serbia",2006,"Food / Beverages",3599,"0",NULL,"no email"
172,"Perez Inc","Haiti",2020,"Paper / Forest Products",3215,"0",NULL,"no email"
173,"Lucero-Rodriguez","Switzerland",1976,"Defense / Space",9625,"0",NULL,"no email"
174,"Boyd Group","Moldova",1995,"Medical Equipment",7344,"0",NULL,"no email"
175,"Pollard LLC","French Guiana",2013,"Performing Arts",9329,"0",NULL,"no email"
176,"Mckay Group","Indonesia",2021,"Consumer Electronics",2304,"0",NULL,"no email"
177,"Moran, Nichols and Kelly","Solomon Islands",1970,"Alternative Medicine",1124,"0",NULL,"no email"
178,"Franklin, Parsons and Mccoy","Mozambique",2004,"Textiles",6962,"0",NULL,"no email"
179,"Alvarez LLC","Seychelles",1973,"Research Industry",5176,"0",NULL,"no email"
180,"Ballard-Benjamin","Gambia",1984,"Consumer Electronics",1339,"0",NULL,"no email"
181,"Byrd, Wallace and Bryan","Zimbabwe",1975,"Package / Freight Delivery",5371,"0",NULL,"no email"
182,"Hayden and Sons","Norfolk Island",2013,"Hospital / Health Care",8746,"0",NULL,"no email"
183,"Hicks, Hall and Hopkins","Benin",1979,"Writing / Editing",9652,"0",NULL,"no email"
184,"Koch Group","Croatia",1994,"Government Relations",6847,"0",NULL,"no email"
185,"Barajas, Hunt and Frye","Denmark",1980,"Philanthropy",3233,"0",NULL,"no email"
186,"Raymond-Rivers","Nicaragua",1995,"Plastics",3836,"0",NULL,"no email"
187,"Newman, Medina and Luna","Korea",1971,"Think Tanks",876,"0",NULL,"no email"
188,"Schneider-Elliott","Bahamas",2021,"Supermarkets",7306,"0",NULL,"no email"
189,"Mays, Robles and Shah","Cambodia",1989,"Chemicals",9666,"0",NULL,"no email"
190,"Huynh and Sons","Swaziland",1993,"Furniture",1359,"0",NULL,"no email"
191,"Gonzales-Schneider","Timor-Leste",1989,"Oil / Energy / Solar / Greentech",687,"0",NULL,"no email"
192,"Harding Inc","Pakistan",1986,"Events Services",6891,"0",NULL,"no email"
193,"Shelton PLC","Saudi Arabia",1973,"Food Production",9909,"0",NULL,"no email"
194,"Elliott, Hood and Estrada","Ethiopia",2014,"Automotive",3493,"0",NULL,"no email"
195,"Ayers, Pierce and Vang","Bahamas",1974,"Professional Training",6594,"0",NULL,"no email"
196,"Cardenas, Brown and Melton","Thailand",1980,"Hospitality",8328,"0",NULL,"no email"
197,"Espinoza PLC","Colombia",1999,"Construction",4441,"0",NULL,"no email"
198,"Levy, Carey and Carpenter","Moldova",2013,"Real Estate / Mortgage",6334,"0",NULL,"no email"
199,"Pugh-Sampson","French Southern Territories",1986,"Wireless",9256,"0",NULL,"no email"
200,"Fuller, Beasley and Rivas","Tajikistan",1984,"Mining / Metals",9432,"0",NULL,"no email"
201,"Galloway-Williamson","Libyan Arab Jamahiriya",1975,"Animation",1512,"0",NULL,"no email"
202,"Haney, Kirk and Cox","Marshall Islands",1985,"Library",3975,"0",NULL,"no email"
203,"Michael and Sons","Austria",1988,"Museums / Institutions",3837,"0",NULL,"no email"
204,"Lara-Andrews","United Arab Emirates",1978,"Fundraising",2354,"0",NULL,"no email"
205,"Harvey Inc","Singapore",1998,"Maritime",4256,"0",NULL,"no email"
206,"Beltran, Flores and Kelley","Argentina",1970,"Railroad Manufacture",1371,"0",NULL,"no email"
207,"Hall Group","Greenland",1982,"Construction",5969,"0",NULL,"no email"
208,"Rocha-Snyder","Guatemala",1986,"Machinery",2008,"0",NULL,"no email"
209,"Riley, Ortiz and Shelton","Peru",1988,"Consumer Electronics",597,"0",NULL,"no email"
210,"Keith-Mora","Uganda",1976,"Music",1555,"0",NULL,"no email"
211,"Curry, Blake and Leblanc","Cayman Islands",1973,"Think Tanks",2164,"0",NULL,"no email"
212,"Olson-Mcconnell","Faroe Islands",1970,"Medical Equipment",9170,"0",NULL,"no email"
213,"Bowen Group","Ecuador",1980,"Market Research",2179,"0",NULL,"no email"
214,"Choi, Daniels and Gay","Holy See (Vatican City State)",2004,"Food / Beverages",3410,"0",NULL,"no email"
215,"Esparza, Jimenez and Hendrix","Ukraine",2003,"Events Services",9709,"0",NULL,"no email"
216,"Collins Group","Netherlands Antilles",2008,"Internet",9616,"0",NULL,"no email"
217,"Morrow Inc","Pakistan",2011,"Government Administration",9434,"0",NULL,"no email"
218,"Mercer, Arroyo and Camacho","Kyrgyz Republic",2018,"Higher Education / Acadamia",5253,"0",NULL,"no email"
219,"Escobar, Gilmore and Mahoney","Kazakhstan",1988,"International Trade / Development",5975,"0",NULL,"no email"
220,"Garrett PLC","Uruguay",1994,"Medical Practice",4965,"0",NULL,"no email"
221,"Owen, Hansen and Lynch","Venezuela",1984,"Entertainment / Movie Production",5331,"0",NULL,"no email"
222,"Mcdaniel, Cunningham and Buck","Uruguay",2016,"International Affairs",1346,"0",NULL,"no email"
223,"Livingston-Short","Bahamas",1973,"Warehousing",6921,"0",NULL,"no email"
224,"Woodard Group","South Africa",1994,"Ranching",1257,"0",NULL,"no email"
225,"Hamilton LLC","Germany",2016,"Mental Health Care",2495,"0",NULL,"no email"
226,"Alvarez, Mendoza and Trujillo","United States Minor Outlying Islands",1973,"Packaging / Containers",3699,"0",NULL,"no email"
227,"Ayers LLC","Aruba",1971,"Wholesale",7898,"0",NULL,"no email"
228,"Sanchez, Berger and Richard","Switzerland",1977,"Translation / Localization",6443,"0",NULL,"no email"
229,"Clayton-Kelly","Kyrgyz Republic",2013,"Writing / Editing",4691,"0",NULL,"no email"
230,"Gibbs and Sons","Saint Martin",2014,"Arts / Crafts",3052,"0",NULL,"no email"
231,"Copeland, Booth and Patrick","China",1975,"Logistics / Procurement",1623,"0",NULL,"no email"
232,"Cross PLC","Brazil",1976,"Government Relations",3101,"0",NULL,"no email"
233,"Chambers-Kemp","Algeria",2021,"Accounting",4288,"0",NULL,"no email"
234,"Estrada-Leon","Somalia",1973,"Aviation / Aerospace",3615,"0",NULL,"no email"
235,"Freeman, Cooke and Wright","Saint Pierre and Miquelon",1997,"Judiciary",3480,"0",NULL,"no email"
236,"Davis-Dillon","Dominican Republic",2007,"Computer / Network Security",6607,"0",NULL,"no email"
237,"Mccann-Huang","Uganda",1986,"Military Industry",3652,"0",NULL,"no email"
238,"Roberts Group","Somalia",2021,"Individual / Family Services",8534,"0",NULL,"no email"
239,"Lynch Inc","Jersey",2011,"Computer / Network Security",2050,"0",NULL,"no email"
240,"Cohen LLC","Saint Vincent and the Grenadines",1983,"Civic / Social Organization",8145,"0",NULL,"no email"
241,"Farley LLC","United States Virgin Islands",2014,"Judiciary",1055,"0",NULL,"no email"
242,"Larson LLC","Lithuania",2011,"Animation",2759,"0",NULL,"no email"
243,"Lyons-Meyer","Turks and Caicos Islands",1999,"Food Production",695,"0",NULL,"no email"
244,"Conley PLC","Lithuania",1970,"Internet",3095,"0",NULL,"no email"
245,"Serrano, Moses and Ho","Kenya",1974,"Nanotechnology",5247,"0",NULL,"no email"
246,"Hernandez Ltd","Indonesia",2003,"Environmental Services",795,"0",NULL,"no email"
247,"Hoover, Johns and French","Myanmar",2015,"Biotechnology / Greentech",5436,"0",NULL,"no email"
248,"King Inc","Afghanistan",1985,"Apparel / Fashion",6819,"0",NULL,"no email"
249,"Mcclain Ltd","United Kingdom",1993,"Information Technology / IT",6001,"0",NULL,"no email"
250,"Rojas, Andrews and Odonnell","Algeria",1981,"Library",6429,"0",NULL,"no email"
251,"Hoover, Mack and Larsen","Mauritius",1995,"Civic / Social Organization",4502,"0",NULL,"no email"
